,Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English,Region_class,Subregion_class
23968,India,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Konkani,Not well or Not at all,Southern and Central Asia,Southern Asia
23969,India,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Konkani,Not well or Not at all,Southern and Central Asia,Southern Asia
23970,India,Not specified,45–64,Persons,Heart disease,0.0,0.0,0.0,Konkani,Not well or Not at all,Southern and Central Asia,Southern Asia
23971,India,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Konkani,Not well or Not at all,Southern and Central Asia,Southern Asia
23972,India,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Konkani,Not well or Not at all,Southern and Central Asia,Southern Asia
23973,India,Not specified,65 and over,Persons,Heart disease,0.0,0.0,0.0,Konkani,Not well or Not at all,Southern and Central Asia,Southern Asia
23974,India,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Konkani,Not well or Not at all,Southern and Central Asia,Southern Asia
23975,India,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Konkani,Not well or Not at all,Southern and Central Asia,Southern Asia
23976,India,Not specified,00–44,Persons,Heart disease,51.0,16946.0,0.300955978,Marathi,Very well or well,Southern and Central Asia,Southern Asia
23977,India,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Marathi,Very well or well,Southern and Central Asia,Southern Asia
23978,India,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Marathi,Very well or well,Southern and Central Asia,Southern Asia
23979,India,Not specified,45–64,Persons,Heart disease,108.0,3435.0,3.144104803,Marathi,Very well or well,Southern and Central Asia,Southern Asia
23980,India,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Marathi,Very well or well,Southern and Central Asia,Southern Asia
23981,India,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Marathi,Very well or well,Southern and Central Asia,Southern Asia
23982,India,Not specified,65 and over,Persons,Heart disease,71.0,562.0,12.63345196,Marathi,Very well or well,Southern and Central Asia,Southern Asia
23983,India,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Marathi,Very well or well,Southern and Central Asia,Southern Asia
23984,India,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Marathi,Very well or well,Southern and Central Asia,Southern Asia
23985,India,Not specified,00–44,Persons,Heart disease,0.0,0.0,0.0,Marathi,Not well or Not at all,Southern and Central Asia,Southern Asia
23986,India,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Marathi,Not well or Not at all,Southern and Central Asia,Southern Asia
23987,India,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Marathi,Not well or Not at all,Southern and Central Asia,Southern Asia
23988,India,Not specified,45–64,Persons,Heart disease,0.0,0.0,0.0,Marathi,Not well or Not at all,Southern and Central Asia,Southern Asia
23989,India,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Marathi,Not well or Not at all,Southern and Central Asia,Southern Asia
23990,India,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Marathi,Not well or Not at all,Southern and Central Asia,Southern Asia
23991,India,Not specified,65 and over,Persons,Heart disease,0.0,0.0,0.0,Marathi,Not well or Not at all,Southern and Central Asia,Southern Asia
23992,India,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Marathi,Not well or Not at all,Southern and Central Asia,Southern Asia
23993,India,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Marathi,Not well or Not at all,Southern and Central Asia,Southern Asia
23994,Nepal,Not specified,00–44,Persons,Heart disease,122.0,116465.0,0.104752501,Nepali,Very well or well,Southern and Central Asia,Southern Asia
23995,Nepal,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Nepali,Very well or well,Southern and Central Asia,Southern Asia
23996,Nepal,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Nepali,Very well or well,Southern and Central Asia,Southern Asia
23997,Nepal,Not specified,45–64,Persons,Heart disease,54.0,3998.0,1.350675338,Nepali,Very well or well,Southern and Central Asia,Southern Asia
23998,Nepal,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Nepali,Very well or well,Southern and Central Asia,Southern Asia
23999,Nepal,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Nepali,Very well or well,Southern and Central Asia,Southern Asia
24000,Nepal,Not specified,65 and over,Persons,Heart disease,29.0,252.0,11.50793651,Nepali,Very well or well,Southern and Central Asia,Southern Asia
24001,Nepal,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Nepali,Very well or well,Southern and Central Asia,Southern Asia
24002,Nepal,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Nepali,Very well or well,Southern and Central Asia,Southern Asia
24003,Nepal,Not specified,00–44,Persons,Heart disease,39.0,6053.0,0.644308607,Nepali,Not well or Not at all,Southern and Central Asia,Southern Asia
24004,Nepal,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Nepali,Not well or Not at all,Southern and Central Asia,Southern Asia
24005,Nepal,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Nepali,Not well or Not at all,Southern and Central Asia,Southern Asia
24006,Nepal,Not specified,45–64,Persons,Heart disease,68.0,2415.0,2.81573499,Nepali,Not well or Not at all,Southern and Central Asia,Southern Asia
24007,Nepal,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Nepali,Not well or Not at all,Southern and Central Asia,Southern Asia
24008,Nepal,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Nepali,Not well or Not at all,Southern and Central Asia,Southern Asia
24009,Nepal,Not specified,65 and over,Persons,Heart disease,90.0,1009.0,8.919722498,Nepali,Not well or Not at all,Southern and Central Asia,Southern Asia
24010,Nepal,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Nepali,Not well or Not at all,Southern and Central Asia,Southern Asia
24011,Nepal,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Nepali,Not well or Not at all,Southern and Central Asia,Southern Asia
24012,India,Not specified,00–44,Persons,Heart disease,319.0,194256.0,0.164216292,Punjabi,Very well or well,Southern and Central Asia,Southern Asia
24013,India,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Punjabi,Very well or well,Southern and Central Asia,Southern Asia
24014,India,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Punjabi,Very well or well,Southern and Central Asia,Southern Asia
24015,India,Not specified,45–64,Persons,Heart disease,466.0,13729.0,3.394274893,Punjabi,Very well or well,Southern and Central Asia,Southern Asia
24016,India,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Punjabi,Very well or well,Southern and Central Asia,Southern Asia
24017,India,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Punjabi,Very well or well,Southern and Central Asia,Southern Asia
24018,India,Not specified,65 and over,Persons,Heart disease,633.0,3723.0,17.00241741,Punjabi,Very well or well,Southern and Central Asia,Southern Asia
24019,India,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Punjabi,Very well or well,Southern and Central Asia,Southern Asia
24020,India,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Punjabi,Very well or well,Southern and Central Asia,Southern Asia
24021,India,Not specified,00–44,Persons,Heart disease,17.0,11784.0,0.144263408,Punjabi,Not well or Not at all,Southern and Central Asia,Southern Asia
24022,India,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Punjabi,Not well or Not at all,Southern and Central Asia,Southern Asia
24023,India,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Punjabi,Not well or Not at all,Southern and Central Asia,Southern Asia
24024,India,Not specified,45–64,Persons,Heart disease,123.0,4579.0,2.686176021,Punjabi,Not well or Not at all,Southern and Central Asia,Southern Asia
24025,India,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Punjabi,Not well or Not at all,Southern and Central Asia,Southern Asia
24026,India,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Punjabi,Not well or Not at all,Southern and Central Asia,Southern Asia
24027,India,Not specified,65 and over,Persons,Heart disease,470.0,3949.0,11.90174728,Punjabi,Not well or Not at all,Southern and Central Asia,Southern Asia
24028,India,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Punjabi,Not well or Not at all,Southern and Central Asia,Southern Asia
24029,India,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Punjabi,Not well or Not at all,Southern and Central Asia,Southern Asia
24030,Pakistan,Not specified,00–44,Persons,Heart disease,0.0,0.0,0.0,Sindhi,Very well or well,Southern and Central Asia,Southern Asia
24031,Pakistan,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Sindhi,Very well or well,Southern and Central Asia,Southern Asia
24032,Pakistan,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Sindhi,Very well or well,Southern and Central Asia,Southern Asia
24033,Pakistan,Not specified,45–64,Persons,Heart disease,0.0,0.0,0.0,Sindhi,Very well or well,Southern and Central Asia,Southern Asia
24034,Pakistan,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Sindhi,Very well or well,Southern and Central Asia,Southern Asia
24035,Pakistan,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Sindhi,Very well or well,Southern and Central Asia,Southern Asia
24036,Pakistan,Not specified,65 and over,Persons,Heart disease,0.0,0.0,0.0,Sindhi,Very well or well,Southern and Central Asia,Southern Asia
24037,Pakistan,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Sindhi,Very well or well,Southern and Central Asia,Southern Asia
24038,Pakistan,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Sindhi,Very well or well,Southern and Central Asia,Southern Asia
24039,Pakistan,Not specified,00–44,Persons,Heart disease,0.0,0.0,0.0,Sindhi,Not well or Not at all,Southern and Central Asia,Southern Asia
24040,Pakistan,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Sindhi,Not well or Not at all,Southern and Central Asia,Southern Asia
24041,Pakistan,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Sindhi,Not well or Not at all,Southern and Central Asia,Southern Asia
24042,Pakistan,Not specified,45–64,Persons,Heart disease,0.0,0.0,0.0,Sindhi,Not well or Not at all,Southern and Central Asia,Southern Asia
24043,Pakistan,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Sindhi,Not well or Not at all,Southern and Central Asia,Southern Asia
24044,Pakistan,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Sindhi,Not well or Not at all,Southern and Central Asia,Southern Asia
24045,Pakistan,Not specified,65 and over,Persons,Heart disease,0.0,0.0,0.0,Sindhi,Not well or Not at all,Southern and Central Asia,Southern Asia
24046,Pakistan,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Sindhi,Not well or Not at all,Southern and Central Asia,Southern Asia
24047,Pakistan,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Sindhi,Not well or Not at all,Southern and Central Asia,Southern Asia
24048,Sri Lanka,Not specified,00–44,Persons,Heart disease,203.0,55763.0,0.364040672,Sinhalese,Very well or well,Southern and Central Asia,Southern Asia
24049,Sri Lanka,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Sinhalese,Very well or well,Southern and Central Asia,Southern Asia
24050,Sri Lanka,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Sinhalese,Very well or well,Southern and Central Asia,Southern Asia
24051,Sri Lanka,Not specified,45–64,Persons,Heart disease,967.0,18429.0,5.247164795,Sinhalese,Very well or well,Southern and Central Asia,Southern Asia
24052,Sri Lanka,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Sinhalese,Very well or well,Southern and Central Asia,Southern Asia
24053,Sri Lanka,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Sinhalese,Very well or well,Southern and Central Asia,Southern Asia
24054,Sri Lanka,Not specified,65 and over,Persons,Heart disease,959.0,5321.0,18.02292802,Sinhalese,Very well or well,Southern and Central Asia,Southern Asia
24055,Sri Lanka,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Sinhalese,Very well or well,Southern and Central Asia,Southern Asia
24056,Sri Lanka,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Sinhalese,Very well or well,Southern and Central Asia,Southern Asia
24057,Sri Lanka,Not specified,00–44,Persons,Heart disease,10.0,1983.0,0.504286435,Sinhalese,Not well or Not at all,Southern and Central Asia,Southern Asia
24058,Sri Lanka,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Sinhalese,Not well or Not at all,Southern and Central Asia,Southern Asia
24059,Sri Lanka,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Sinhalese,Not well or Not at all,Southern and Central Asia,Southern Asia
24060,Sri Lanka,Not specified,45–64,Persons,Heart disease,40.0,947.0,4.223864836,Sinhalese,Not well or Not at all,Southern and Central Asia,Southern Asia
24061,Sri Lanka,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Sinhalese,Not well or Not at all,Southern and Central Asia,Southern Asia
24062,Sri Lanka,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Sinhalese,Not well or Not at all,Southern and Central Asia,Southern Asia
24063,Sri Lanka,Not specified,65 and over,Persons,Heart disease,130.0,949.0,13.69863014,Sinhalese,Not well or Not at all,Southern and Central Asia,Southern Asia
24064,Sri Lanka,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Sinhalese,Not well or Not at all,Southern and Central Asia,Southern Asia
24065,Sri Lanka,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Sinhalese,Not well or Not at all,Southern and Central Asia,Southern Asia
24066,Pakistan,Not specified,00–44,Persons,Heart disease,205.0,89183.0,0.229864436,Urdu,Very well or well,Southern and Central Asia,Southern Asia
24067,Pakistan,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Urdu,Very well or well,Southern and Central Asia,Southern Asia
24068,Pakistan,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Urdu,Very well or well,Southern and Central Asia,Southern Asia
24069,Pakistan,Not specified,45–64,Persons,Heart disease,578.0,10464.0,5.523700306,Urdu,Very well or well,Southern and Central Asia,Southern Asia
24070,Pakistan,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Urdu,Very well or well,Southern and Central Asia,Southern Asia
24071,Pakistan,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Urdu,Very well or well,Southern and Central Asia,Southern Asia
24072,Pakistan,Not specified,65 and over,Persons,Heart disease,419.0,1739.0,24.09430707,Urdu,Very well or well,Southern and Central Asia,Southern Asia
24073,Pakistan,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Urdu,Very well or well,Southern and Central Asia,Southern Asia
24074,Pakistan,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Urdu,Very well or well,Southern and Central Asia,Southern Asia
24075,Pakistan,Not specified,00–44,Persons,Heart disease,16.0,5410.0,0.295748614,Urdu,Not well or Not at all,Southern and Central Asia,Southern Asia
24076,Pakistan,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Urdu,Not well or Not at all,Southern and Central Asia,Southern Asia
24077,Pakistan,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Urdu,Not well or Not at all,Southern and Central Asia,Southern Asia
24078,Pakistan,Not specified,45–64,Persons,Heart disease,64.0,1086.0,5.893186004,Urdu,Not well or Not at all,Southern and Central Asia,Southern Asia
24079,Pakistan,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Urdu,Not well or Not at all,Southern and Central Asia,Southern Asia
24080,Pakistan,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Urdu,Not well or Not at all,Southern and Central Asia,Southern Asia
24081,Pakistan,Not specified,65 and over,Persons,Heart disease,159.0,800.0,19.875,Urdu,Not well or Not at all,Southern and Central Asia,Southern Asia
24082,Pakistan,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Urdu,Not well or Not at all,Southern and Central Asia,Southern Asia
24083,Pakistan,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Urdu,Not well or Not at all,Southern and Central Asia,Southern Asia
24084,India,Not specified,00–44,Persons,Heart disease,0.0,0.0,0.0,Assamese,Very well or well,Southern and Central Asia,Southern Asia
24085,India,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Assamese,Very well or well,Southern and Central Asia,Southern Asia
24086,India,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Assamese,Very well or well,Southern and Central Asia,Southern Asia
24087,India,Not specified,45–64,Persons,Heart disease,0.0,0.0,0.0,Assamese,Very well or well,Southern and Central Asia,Southern Asia
24088,India,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Assamese,Very well or well,Southern and Central Asia,Southern Asia
24089,India,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Assamese,Very well or well,Southern and Central Asia,Southern Asia
24090,India,Not specified,65 and over,Persons,Heart disease,0.0,0.0,0.0,Assamese,Very well or well,Southern and Central Asia,Southern Asia
24091,India,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Assamese,Very well or well,Southern and Central Asia,Southern Asia
24092,India,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Assamese,Very well or well,Southern and Central Asia,Southern Asia
24093,India,Not specified,00–44,Persons,Heart disease,0.0,0.0,0.0,Assamese,Not well or Not at all,Southern and Central Asia,Southern Asia
24094,India,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Assamese,Not well or Not at all,Southern and Central Asia,Southern Asia
24095,India,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Assamese,Not well or Not at all,Southern and Central Asia,Southern Asia
24096,India,Not specified,45–64,Persons,Heart disease,0.0,0.0,0.0,Assamese,Not well or Not at all,Southern and Central Asia,Southern Asia
24097,India,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Assamese,Not well or Not at all,Southern and Central Asia,Southern Asia
24098,India,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Assamese,Not well or Not at all,Southern and Central Asia,Southern Asia
24099,India,Not specified,65 and over,Persons,Heart disease,0.0,0.0,0.0,Assamese,Not well or Not at all,Southern and Central Asia,Southern Asia
24100,India,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Assamese,Not well or Not at all,Southern and Central Asia,Southern Asia
24101,India,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Assamese,Not well or Not at all,Southern and Central Asia,Southern Asia
24102,Maldives,Not specified,00–44,Persons,Heart disease,0.0,0.0,0.0,Dhivehi,Very well or well,Southern and Central Asia,Southern Asia
24103,Maldives,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Dhivehi,Very well or well,Southern and Central Asia,Southern Asia
24104,Maldives,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Dhivehi,Very well or well,Southern and Central Asia,Southern Asia
24105,Maldives,Not specified,45–64,Persons,Heart disease,0.0,0.0,0.0,Dhivehi,Very well or well,Southern and Central Asia,Southern Asia
24106,Maldives,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Dhivehi,Very well or well,Southern and Central Asia,Southern Asia
24107,Maldives,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Dhivehi,Very well or well,Southern and Central Asia,Southern Asia
24108,Maldives,Not specified,65 and over,Persons,Heart disease,0.0,0.0,0.0,Dhivehi,Very well or well,Southern and Central Asia,Southern Asia
24109,Maldives,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Dhivehi,Very well or well,Southern and Central Asia,Southern Asia
24110,Maldives,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Dhivehi,Very well or well,Southern and Central Asia,Southern Asia
24111,Maldives,Not specified,00–44,Persons,Heart disease,0.0,0.0,0.0,Dhivehi,Not well or Not at all,Southern and Central Asia,Southern Asia
24112,Maldives,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Dhivehi,Not well or Not at all,Southern and Central Asia,Southern Asia
24113,Maldives,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Dhivehi,Not well or Not at all,Southern and Central Asia,Southern Asia
24114,Maldives,Not specified,45–64,Persons,Heart disease,0.0,0.0,0.0,Dhivehi,Not well or Not at all,Southern and Central Asia,Southern Asia
24115,Maldives,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Dhivehi,Not well or Not at all,Southern and Central Asia,Southern Asia
24116,Maldives,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Dhivehi,Not well or Not at all,Southern and Central Asia,Southern Asia
24117,Maldives,Not specified,65 and over,Persons,Heart disease,0.0,0.0,0.0,Dhivehi,Not well or Not at all,Southern and Central Asia,Southern Asia
24118,Maldives,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Dhivehi,Not well or Not at all,Southern and Central Asia,Southern Asia
24119,Maldives,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Dhivehi,Not well or Not at all,Southern and Central Asia,Southern Asia
24120,India,Not specified,00–44,Persons,Heart disease,0.0,0.0,0.0,Kashmiri,Very well or well,Southern and Central Asia,Southern Asia
24121,India,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Kashmiri,Very well or well,Southern and Central Asia,Southern Asia
24122,India,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Kashmiri,Very well or well,Southern and Central Asia,Southern Asia
24123,India,Not specified,45–64,Persons,Heart disease,0.0,0.0,0.0,Kashmiri,Very well or well,Southern and Central Asia,Southern Asia
24124,India,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Kashmiri,Very well or well,Southern and Central Asia,Southern Asia
24125,India,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Kashmiri,Very well or well,Southern and Central Asia,Southern Asia
24126,India,Not specified,65 and over,Persons,Heart disease,0.0,0.0,0.0,Kashmiri,Very well or well,Southern and Central Asia,Southern Asia
24127,India,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Kashmiri,Very well or well,Southern and Central Asia,Southern Asia
24128,India,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Kashmiri,Very well or well,Southern and Central Asia,Southern Asia
24129,India,Not specified,00–44,Persons,Heart disease,0.0,0.0,0.0,Kashmiri,Not well or Not at all,Southern and Central Asia,Southern Asia
24130,India,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Kashmiri,Not well or Not at all,Southern and Central Asia,Southern Asia
24131,India,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Kashmiri,Not well or Not at all,Southern and Central Asia,Southern Asia
24132,India,Not specified,45–64,Persons,Heart disease,0.0,0.0,0.0,Kashmiri,Not well or Not at all,Southern and Central Asia,Southern Asia
24133,India,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Kashmiri,Not well or Not at all,Southern and Central Asia,Southern Asia
24134,India,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Kashmiri,Not well or Not at all,Southern and Central Asia,Southern Asia
24135,India,Not specified,65 and over,Persons,Heart disease,0.0,0.0,0.0,Kashmiri,Not well or Not at all,Southern and Central Asia,Southern Asia
24136,India,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Kashmiri,Not well or Not at all,Southern and Central Asia,Southern Asia
24137,India,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Kashmiri,Not well or Not at all,Southern and Central Asia,Southern Asia
24138,India,Not specified,00–44,Persons,Heart disease,0.0,0.0,0.0,Oriya,Very well or well,Southern and Central Asia,Southern Asia
24139,India,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Oriya,Very well or well,Southern and Central Asia,Southern Asia
24140,India,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Oriya,Very well or well,Southern and Central Asia,Southern Asia
24141,India,Not specified,45–64,Persons,Heart disease,0.0,0.0,0.0,Oriya,Very well or well,Southern and Central Asia,Southern Asia
24142,India,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Oriya,Very well or well,Southern and Central Asia,Southern Asia
24143,India,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Oriya,Very well or well,Southern and Central Asia,Southern Asia
24144,India,Not specified,65 and over,Persons,Heart disease,0.0,0.0,0.0,Oriya,Very well or well,Southern and Central Asia,Southern Asia
24145,India,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Oriya,Very well or well,Southern and Central Asia,Southern Asia
24146,India,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Oriya,Very well or well,Southern and Central Asia,Southern Asia
24147,India,Not specified,00–44,Persons,Heart disease,0.0,0.0,0.0,Oriya,Not well or Not at all,Southern and Central Asia,Southern Asia
24148,India,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Oriya,Not well or Not at all,Southern and Central Asia,Southern Asia
24149,India,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Oriya,Not well or Not at all,Southern and Central Asia,Southern Asia
24150,India,Not specified,45–64,Persons,Heart disease,0.0,0.0,0.0,Oriya,Not well or Not at all,Southern and Central Asia,Southern Asia
24151,India,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Oriya,Not well or Not at all,Southern and Central Asia,Southern Asia
24152,India,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Oriya,Not well or Not at all,Southern and Central Asia,Southern Asia
24153,India,Not specified,65 and over,Persons,Heart disease,0.0,0.0,0.0,Oriya,Not well or Not at all,Southern and Central Asia,Southern Asia
24154,India,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Oriya,Not well or Not at all,Southern and Central Asia,Southern Asia
24155,India,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Oriya,Not well or Not at all,Southern and Central Asia,Southern Asia
24156,Fiji,Not specified,00–44,Persons,Heart disease,13.0,2845.0,0.456942004,Fijian Hindustani,Very well or well,Oceania and Antarctica,Polynesia
24157,Fiji,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Fijian Hindustani,Very well or well,Oceania and Antarctica,Polynesia
24158,Fiji,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Fijian Hindustani,Very well or well,Oceania and Antarctica,Polynesia
24159,Fiji,Not specified,45–64,Persons,Heart disease,89.0,1227.0,7.253463733,Fijian Hindustani,Very well or well,Oceania and Antarctica,Polynesia
24160,Fiji,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Fijian Hindustani,Very well or well,Oceania and Antarctica,Polynesia
24161,Fiji,Not specified,45–64,Female,Heart disease,0.0,0.0,0.0,Fijian Hindustani,Very well or well,Oceania and Antarctica,Polynesia
24162,Fiji,Not specified,65 and over,Persons,Heart disease,86.0,397.0,21.66246851,Fijian Hindustani,Very well or well,Oceania and Antarctica,Polynesia
24163,Fiji,Not specified,65 and over,Male,Heart disease,0.0,0.0,0.0,Fijian Hindustani,Very well or well,Oceania and Antarctica,Polynesia
24164,Fiji,Not specified,65 and over,Female,Heart disease,0.0,0.0,0.0,Fijian Hindustani,Very well or well,Oceania and Antarctica,Polynesia
24165,Fiji,Not specified,00–44,Persons,Heart disease,0.0,0.0,0.0,Fijian Hindustani,Not well or Not at all,Oceania and Antarctica,Polynesia
24166,Fiji,Not specified,00–44,Male,Heart disease,0.0,0.0,0.0,Fijian Hindustani,Not well or Not at all,Oceania and Antarctica,Polynesia
24167,Fiji,Not specified,00–44,Female,Heart disease,0.0,0.0,0.0,Fijian Hindustani,Not well or Not at all,Oceania and Antarctica,Polynesia
24168,Fiji,Not specified,45–64,Persons,Heart disease,0.0,0.0,0.0,Fijian Hindustani,Not well or Not at all,Oceania and Antarctica,Polynesia
24169,Fiji,Not specified,45–64,Male,Heart disease,0.0,0.0,0.0,Fijian Hindustani,Not well or Not at all,Oceania and Antarctica,Polynesia
