,Country of birth of person,Years spent in Australia,Age group,Sex,Long-term health condition (LTHC),Number of people reporting LTHC(s),Population,Age-specific percentage of population reporting LTHC(s),Language used at home,Proficiency in spoken English,Region_class,Subregion_class
58557,Northern Mariana Islands,0–10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58558,Northern Mariana Islands,0–10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58559,Northern Mariana Islands,0–10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58560,Northern Mariana Islands,0–10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58561,Northern Mariana Islands,0–10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58562,Northern Mariana Islands,0–10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58563,Northern Mariana Islands,More than 10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58564,Northern Mariana Islands,More than 10 years,00–44,Male,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58565,Northern Mariana Islands,More than 10 years,00–44,Female,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58566,Northern Mariana Islands,More than 10 years,45–64,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58567,Northern Mariana Islands,More than 10 years,45–64,Male,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58568,Northern Mariana Islands,More than 10 years,45–64,Female,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58569,Northern Mariana Islands,More than 10 years,65 and over,Persons,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58570,Northern Mariana Islands,More than 10 years,65 and over,Male,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58571,Northern Mariana Islands,More than 10 years,65 and over,Female,One or more long-term health condition(s),0.0,0.0,0.0,Tagalog,Not specified,Oceania and Antarctica,Micronesia
58572,Palau,0–10 years,00–44,Persons,One or more long-term health condition(s),0.0,0.0,0.0,"Pacific Austronesian Languages, nfd",Not specified,Oceania and Antarctica,Micronesia
